Title,Location,Remote,Company,Salary,Rating,Summary
Team Leader - Data Conversion,"Hyderabad, Telangana",,State Street,,3.5,Good knowledge data analysis and data conversion of new Clients to an in-house Middle Office system.Resolve issues and gaps in terms of data provided or…
Sr. Data Scientist,"Chennai, Tamil Nadu",,PayPal,,3.9,"Lead complex, multifunctional data science projects.Have a passion for working on big data and professional experience in data mining, statistical analysis,…"
Electrochemist,"Mumbai, Maharashtra",,"BreathX Technologies Inc, ( Canary Health Technologies)","₹45,000 - ₹55,000 a month",,"\* Design, carry out experiments and data analysis , and present findings with little.This person would be responsible for participating in a laboratory…"
Data Analyst 2,"Chennai, Tamil Nadu",,PayPal,,3.9,"Degree in applied statistics, mathematics, physics, econometrics or computer science.Degree in applied statistics, mathematics, physics, econometrics or…"
Data Science Internship,"Bengaluru, Karnataka",,Able Jobs,"₹12,000 - ₹20,000 a month",,"Researching, building, implementing and evaluating data science models involving various machine learning approaches 3.Have relevant skills and interests."
Technical Support Staff (Asstt Engr Data Centre),"Bengaluru, Karnataka",Remote work available,Vidya Online Services Pune Pvt Ltd,"₹20,000 - ₹22,000 a month",,Bachelor of Engineering(BE)/Bachelor of Technology(B Tech.)./ Master in Computer Application (MCA) with specialisation in Electronics & Communication…
Data Scientist,"Coimbatore, Tamil Nadu",Remote work available,Spectrum Digital Infocom,,,"Experience or Bachelors's with 1-5 yrs. experience in data sciences.Skills - Data Science & Machine Learning with Python or R.Job Types: Full-time, Walk-In."
Data Science Internship,"Gurgaon, Haryana",,Nudge Digital Labs Private Limited,"₹5,000 - ₹10,000 a month",,"Nudge Digital Labs is a fintech and a B2B Product Company.With its flagship products, GameChange enables chat commerce and social selling i.e., enabling users…"
Data Scientist,"Gurgaon, Haryana",,Redian Software,,,"Dive into the data and identify patterns.Qualification: BS/MS/MCA, BCA in Computer Science or equivalent Experience: 3+ Years."
Data Science Python Jobs in Gurgaon,"Gurgaon, Haryana",,CTC Data Science,"₹20,000 - ₹35,000 a month",,"Education trainers, counsellors , Business developers with some domain exposure in Python / SQL/ Tableau/ SAS/ SPSS full time required in Gurgaon."
Safety Associate Trainee,"Kochi, Kerala",,IQVIA,,3.8,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
Manager Data Science,"Hyderabad, Telangana",,Reliance Jio Infocomm Limited,,3.9,"Specify, design, and implement new data science applications,.Warehousing, data management and analytic architectures.Java/Scala, SQL, Map Reduce."
Strategic Planning & Consulting,"Bengaluru, Karnataka",Remote work available,Shortlyst.ai,"₹55,000 - ₹75,000 a month",,Identify and assess data analytics projects and business models.We aim to transform Human Capital from its current state of being instinct-driven to become…
Data Scientist,"Noida, Uttar Pradesh",Remote work available,Infiniticube Services Pvt Ltd,"₹60,000 - ₹1,30,000 a month",,"Study and transform data science prototypes.Familiar with No-SQL such as MongoDB, relational databases and unstructured data.Knowledge of Python, R, Hadoop."
Lead Data Scientist,"Bengaluru, Karnataka",,PayPal,,3.9,Leveraging data analysis tools and technologies.Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to…
Data Scientist,"Chennai, Tamil Nadu",,Applied Materials Inc.,,3.9,"Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment."
Data Scientist,"Bengaluru, Karnataka",,PayPal,,3.9,"Experience in at least one data visualization tool (Tableau, Qlikview).Bringing data to life and making it actionable and relevant to stakeholders through…"
Team Leader - Data Conversion,"Hyderabad, Telangana",,State Street,,3.5,Good knowledge data analysis and data conversion of new Clients to an in-house Middle Office system.Resolve issues and gaps in terms of data provided or…
Data Engineer,"Mumbai, Maharashtra",Remote work available,"BreathX Technologies Inc, ( Canary Health Technologies)",,,"Analysts and data scientists on data initiatives and will ensure compliant, secure, optimal data.At least 5 years experience building and optimizing ‘big data’…"
Data Analyst 2,"Chennai, Tamil Nadu",,PayPal,,3.9,"Degree in applied statistics, mathematics, physics, econometrics or computer science.Degree in applied statistics, mathematics, physics, econometrics or…"
Electrochemist,"Mumbai, Maharashtra",,"BreathX Technologies Inc, ( Canary Health Technologies)","₹45,000 - ₹55,000 a month",,"\* Design, carry out experiments and data analysis , and present findings with little.This person would be responsible for participating in a laboratory…"
Director of Data Science,"Noida, Uttar Pradesh",,Deal4loans,,,"Good with numbers: digest numbers/data, analyze it, use this data to make.Defines the data requirements of the analytic solution."
Data Science Intern,India,,Dasceq,,,We are expanding our team and looking for next generations data scientist with experience to lead high end AI Product Development.
Consultant,"Bengaluru, Karnataka",,IQVIA,,3.8,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
Data Science Trainer,"Badarpur, Delhi",Remote work available,Digital School of Delhi,,,"Training working professionals on in-demand skill of Data science.Should have strong command over Data science with Python, Java, Hadoop."
Data Engineer,"Bengaluru, Karnataka",,Google,,4.3,"3 years of industry experience in software development, data engineering, business intelligence, data science, or related field with experience in manipulating,…"
Medical Safety Monitor,"Bengaluru, Karnataka",,IQVIA,,3.8,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
